Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0.3490476352405904,0,0,0,0,0,0.069206330697303767,0,0,0.51128695781064137,0.063269525959486844,0,0,0,0
0,0,0,0.064612347020497382,0,0,0.14040603282445113,0,0.30357669946840377,0.40882714627556632,0,0,0,0,0.072321348421166054
0.15704323625276315,0,0,0.40052703256449901,0,0.094777365896638016,0,0,0,0.33268636687541603,0,0,0,0,0
0.2621180764514508,0,0,0.28759217427473122,0,0,0,0.18086836238842999,0.1126147685455153,0.08537872787282437,0,0.057474379921948766,0,0,0
0.49446184134494547,0,0,0.069143886293564882,0,0,0.24243452308527333,0,0,0,0,0,0,0.18086449363239948,0
0,0,0,0,0,0.27238049847307716,0,0.26362702682682487,0,0.44732578638300624,0,0,0,0,0
0.080035181096395056,0.27508431236391212,0,0.44027061180133958,0,0,0,0,0.053748279895976955,0.14197271751478727,0,0,0,0,0
0.020921343696143881,0,0,0.11271269454534623,0.61508123635906076,0.12206273890798894,0,0,0.082026775101234628,0,0,0,0.042317155632303489,0,0
0.53856146626907064,0,0,0,0,0,0.10316573361842699,0,0.075535460206709912,0.1073731083581998,0,0,0,0,0.16819576030898739
0,0,0,0.094364851647131265,0,0,0,0,0.45156799175073747,0.26279638202890238,0,0.17338458619693969,0,0,0
0,0,0,0.42380374684349392,0,0,0,0.17068210421616614,0,0,0.073451581124070978,0,0,0.23227931448971634,0.08427935766219824
0,0.17341753208889871,0,0,0,0.12708843190260727,0,0,0.24299350523271637,0.30033491940849422,0,0,0,0.13533226504179072,0
0,0,0,0,0,0,0,0,0,0.067214419884574508,0,0,0.91545222960931771,0,0
0.096116245929605659,0,0.10566610727036799,0,0.18242811632986328,0,0.057820168017327152,0,0,0,0.061749892636509283,0.045205066086273046,0,0.44521729527781606,0
0,0,0.18198184788249744,0,0,0,0,0,0,0.54665770180670792,0.25503389523822872,0,0,0,0
0.21615175395620298,0,0,0,0,0.083708294716211426,0,0,0,0,0,0.22439030755725792,0.1318417806784957,0.33451818037763081,0
0.37636680009842188,0,0.04312686488913163,0.052686559809186531,0,0,0.10219045182518305,0,0,0,0.059946430914411784,0.12579108813254414,0,0,0.23338772867990473
0,0.32161096655866983,0,0.054002376014933552,0.066207873777742496,0,0.36363644916506804,0,0,0,0,0,0.18705168778990519,0,0
0.10063101263734722,0,0,0,0.072474476383300762,0.36596107815594986,0,0,0.16894414634319155,0,0.072044984513094212,0,0,0.20817958118270086,0
0.22887776874415117,0,0,0,0.14767958617783075,0,0.42392830748370669,0.029996318525793153,0.12732969306957936,0,0,0,0,0,0.035805338624718928
0,0,0,0,0.49622296421409051,0,0,0,0.075137475797502545,0,0.061478190472222242,0.07235910014585159,0,0.13800020720208164,0.14403607987678302
0,0,0,0,0.3308402572401406,0,0.20081806317439307,0.11734464340361944,0,0,0,0,0,0.10717645110429243,0.22831668747794931
0.17793943915275764,0,0,0,0.042486628629726964,0.044177064599676755,0,0,0,0,0,0.64362434226747045,0.084680314140117549,0,0
0.54485664373988174,0,0,0,0,0,0,0,0,0.18163376894425376,0,0.25611827484003863,0,0,0
0.36699724413730267,0,0,0,0,0.42768957232184296,0.14970608919974698,0,0,0,0,0,0.045829311715047109,0,0
0,0,0.12034142562279929,0,0,0,0.036657249291089739,0,0,0,0,0.83545414281598718,0,0,0
0,0,0,0.099543537185515049,0.080666878097679862,0,0,0,0.35034715917934767,0,0,0.0536124849426741,0,0.40133717832329024,0
