Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Evers N., Andersson S., Hannibal M.","Stakeholders and marketing capabilities in international new ventures: Evidence from Ireland, Sweden, and Denmark",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871465221&partnerID=40&md5=f581b37be14d3effd28eaef99031079f","Few studies have examined the dynamic capabilities perspective in the context of international new ventures (INVs) and, in particular, toward their marketing activities. Using a cross-country case approach, this article explores the role of stakeholders in the marketing capability-building processes of INVs in Ireland, Sweden, and Denmark. The study reveals that different stakeholders play a critical role in influencing how INVs build their marketing capabilities to respond effectively to the dynamic nature of international markets in which they operate. The results show that different stakeholder groups (allied, cooperative, neutral, and entrepreneur) can influence the learning processes (single-, double-, and triple-loop) of the firm and can determine the nature of dynamic marketing capabilities (incremental, renewing, and regenerative) needed to create and sustain international competitive advantage. Furthermore, ""effectuation logic"" can explain how entrepreneurs manage and leverage stakeholder relationships in marketing capability processes to cocreate value for the firm. By incorporating dynamic capabilities, stakeholder, and learning theories, this study offers a dynamic, process-oriented model for INV research and provides much-needed qualitative insights into the dynamic capabilities theory of the firm. © 2012, American Marketing Association.","Case method; Dynamic capabilities; International new ventures; Marketing capabilities; Stakeholders",
"Leboucher G.","Ethology and the study of social relationships: Biological processes and pleasure [Quand L'éthologie S'intéresse au lien social]",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870993226&partnerID=40&md5=6c1d3731c7fc9bb2d8be682b06375994","Research on parental (particularly maternal) care has tended to focus on the notion of attachment or on reproductive effort or investment. However, the social behaviors (i.e. parenting behaviors, marital behaviors) governing attachments can also be studied in the light of recent research on ""reward circuits"" in neurobiology. Recent studies have shown that social behaviors and attachments are strengthened by the activation of these circuits, which involve structures such as the ventral tegmental area and the nucleus accumbens and use dopamine as a neuromediator. There is increasing evidence to suggest that addictions are a result of these mechanisms (associated with the reinforcement of motivated behavior, such as eating, drinking, mating, or car-ing for one's children) being ""bypassed"". Neuroimaging has shown that the results of studies on rodents may also apply to humans. Neuroimaging studies provide further evidence of the processes underlying social relationships, which have unique ramifications among many species (including humans).","""Reward circuit""; Addiction; Motivation; Parenting behaviors; Social attachments","Rodentia"
"Ioannou I., Serafeim G.","What drives corporate social performance the role of nation-level institutions",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870501123&partnerID=40&md5=9a96ef7d96b9e0bd291738f5265e51de","Based on Whitley's national business systems (NBS) institutional framework, we theorize about and empirically investigate the impact of nation-level institutions on firms corporate social performance (CSP). Using a sample of firms from 42 countries spanning seven years, we construct an annual composite CSP index for each firm, based on social and environmental metrics. We find that the political system, followed by the labor and education system, and the cultural system are the most important NBS categories of institutions that impact CSP. Interestingly, the financial system appears to have a relatively less significant impact. We discuss implications for research, practice and policymaking. © 2012 Academy of International Business All rights reserved.","business in society; corporate social responsibility; markets and institutions",
"Miron D., Petrache A.-M.","The linkage between corporate social performance and the corporate financial performance in the information and communication technology multinational companies of Romania",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876552938&partnerID=40&md5=3489d2043b58ab83d638e2427c1cbf23","Managers are consistently faced with the decision of how to allocate scarce corporate resources in a demanding and highly competitive environment. Moreover, the economic crisis brings the strategic corporate concerns to a new level, where the profitability - social responsibility duality becomes even more controversial. Using regression analysis as in the methodology tested by Waddock and Graves (1997), this paper reports the results of a rigorous study of the empirical linkages between financial and social performance during 2005-2010 in the Information and Communication Technology (ICT) multinational companies of Romania. Aside from biased conclusions drawn by this research, top industries as ICT offer many fruitful opportunities towards sustainable development, especially on a frontier market as Romania.","Corporate financial performance; Corporate social performance; ICT industry; Multinational companies; Romanian business environment",
"Scalet S., Kelly T.F.","The Ethics of Credit Rating Agencies: What Happened and the Way Forward",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871307173&partnerID=40&md5=af6c0c75ebb22ac71218e202e69f519a","During the short span of a few months in 2008, 14 trillion dollars of highly rated bonds fell into junk status, surprising the global financial system and accelerating an economic decline. The result was the worst fracture of the US financial system since the Great Depression. Credit rating agencies (CRAs) in particular have come under intense scrutiny as a result of this latest disaster, both domestically and internationally, including many congressional inquiries and government investigations. Most of the public and scholarly discussions about CRAs focus on reforming the financial system so that the crisis of the magnitude of the 2008 disaster will not happen again. An important overtone of industry criticisms includes a sense of ethical impropriety on the part of CRAs and ethical uncertainty about the institutional mechanisms that are currently in place. Rarely, however, are the ethics of the industry the explicit subject of analysis. In this article, we discuss the lessons from the policy debates and recent legislation to develop an account of the ethics of the CRA industry. © 2012 Springer Science+Business Media B.V.","2008 Subprime meltdown; Business ethics; Corporate responsibility; Credit crisis; Credit rating agencies (CRAs); Ethics; Finance; Finance ethics; Rating bonds; SEC; Securities",
"Drover W., Franczak J., Beltramini R.F.","A 30-Year Historical Examination of Ethical Concerns Regarding Business Ethics: Who's Concerned?",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871292238&partnerID=40&md5=01ce710dfd1b8f226d1fc8b16a756f69","Understanding the ethical attitudes and concerns of future business leaders has been the focus of increasing research attention. Largely, this is due to the influence of such perspectives, as it is these presently held ideologies that ultimately translate into the actions and behaviors of the forthcoming workforce. This research examines how such business-related ethicality perspectives have evolved by administering a nationwide survey that builds on two Journal of Business Ethics studies, Beltramini et al. (J Bus Ethics 3:195-200, 1984) and Peterson et al. (J Bus Ethics 10:733-738, 1991), resulting in the latest segment of a three-decade historical perspective of ethical concerns. Our findings indicate fundamental shifts regarding the nature of concerns, and provide a number of practical and theoretical contributions to the ethics literature, bringing us one step closer to more comprehensively understanding, and ultimately enhancing ethical practices in business. © 2012 Springer Science+Business Media B.V.","Attitudes toward business ethics; Business ethics; Evolving ethical perspectives; Future business leaders; Historical research approach",
"Anderson M.W., Teisl M., Noblet C.","Giving voice to the future in sustainability: Retrospective assessment to learn prospective stakeholder engagement",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869113463&partnerID=40&md5=592769c728ebfe78b0baadc80b9806c7","There is a broad understanding that intergenerational equity is a necessary, if not sufficient, condition for sustainability. Likewise, there is a growing consensus that sustainability science requires stakeholder engagement to be successful. These two ideas demand some meaningful way of engaging the future as a stakeholder if sustainability is to be operationalized. Rawls' theory of justice provides a model for how this might be accomplished, yet there are both conceptual and practical problems with a Rawlsian approach. We propose using retrospective assessment as a means of learning how to approach future stakeholder engagement in sustainability. © 2012 Elsevier B.V.","Bequests; Intergenerational equity; Prospective assessment; Rawls; Retrospective assessment; Sustainability stakeholders","environmental economics; equity; future prospect; stakeholder; sustainability; sustainable development"
"Bouckaert L., Zsolnai L.","Spirituality and business: An interdisciplinary overview",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866675169&partnerID=40&md5=e989d572e9e3e20aded46d68efd669d9","The paper gives an interdisciplinary overview of the emerging field of spirituality and business. It uses insights from business ethics, theology, neuroscience, psychology, gender studies, and philosophy to economics, management, organizational science, and banking and refers to different religious convictions including Christianity, Judaism, Islam, Hinduism, Buddhism, Confucianism, the Baha'i faith, and the North-American aboriginal worldview. The authors argue that the materialistic management paradigm has failed. They explore new values for post-materialistic management: frugality, deep ecology, trust, reciprocity, responsibility for future generations, and authenticity. Within this framework profit and growth are no longer ultimate aims but elements in a wider set of values. Similarly, cost-benefit calculations are no longer the essence of management but are part of a broader concept of wisdom in leadership. Spirit-driven businesses require intrinsic motivation for serving the common good and using holistic evaluation schemes for measuring success. The Palgrave Handbook of Business and Spirituality, edited by the authors, is a response to developments that simultaneously challenge the ""business as usual"" mindset.","A13; business ethics; economic wisdom; M10; post-materialistic management; religion and spirituality; spiritually inspired economics; spiritually-based leadership; Z12",
"Papakosmas M.F., Noble G., Glynn J.","Organization-based social marketing: An alternative approach for organizations adopting sustainable business practices",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878363519&partnerID=40&md5=b2f0dd5a7048f2280d92168427d0d18f","This article conceptualizes a new area for social marketing practitioners by focusing on individual behavior change that might occur within organizations. Organization-Based Social Marketing (OBSM) draws from organization change theory and internal marketing theory, while maintaining social marketing's focus on beneficial behavior modification. The article argues that as such, OBSM represents a viable approach for organizations seeking to address the increasing demand for change strategies that promote proenvironmental behavior among their employees. © The Author(s) 2012.","Employee behaviour; Organisation based social marketing; Pro-environmental behaviour; Social marketing; Sustainable business",
"Derry R.","Reclaiming Marginalized Stakeholders",2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870372964&partnerID=40&md5=4bafda4554e1bb0824abcbc2f17a9fc3","Within stakeholder literature, much attention has been given to which stakeholders ""really count."" This article strives to explain why organizational theorists should abandon the pursuit of ""Who and What Really Counts"" to challenge the assumption of a managerial perspective that defines stakeholder legitimacy. Reflecting on the paucity of employee rights and protections in marginalized work environments, I argue that as organizational researchers, we must recognize and take responsibility for the impact of our research models and visions. By confronting and rethinking the foundational assumptions of stakeholder theory, business and society scholars can identify and pursue research questions that more effectively address contemporary social challenges. © 2012 Springer Science+Business Media B.V.","Business ethics; Separation Thesis; Stakeholder theory; Stakeholder typology",
