"Thornton J.C., Byrd J.T.",Social responsibility and the small business,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891056224&partnerID=40&md5=9fe5f0d1a2c375c5c6029b001705d3ed,"The focus of social responsibility concentrates primarily on large businesses. This can be seen in the wording of ""corporate responsibility"" as well as most of the research regarding social responsibility. Although small businesses make up fifty-one per cent of gross domestic product, and account for approximately fifty percent of United States employment, research on them is minimal compared to large firms. The literature is dominated by large multinational organizations. More research needs to be focused on the small business enterprise. This article provides the results of a study of social responsibility in a select group of small businesses. Chief Executive Officer owners of privately owned manufacturing companies participated in the study. Approximately half of the firms representing four regions in the United States publicly proclaimed a commitment to social responsibility. The other half were selected with no knowledge of their orientation to social responsibility. The results provide meaningful insights into the nature of social responsibility in small business.",,
"Hassan B.R.A., Latif R.A.",Epistephilic forces in Malaysian indie documentary,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890949872&partnerID=40&md5=bf8fe272c1a2dbfe63a16b635456f547,"Documentary film has established itself as an important spatial extension of this nation's historicity. This paper explores the terrains of this critical transformational space which in recent years, has been dominated arguably increasingly, by a cohort of 'socialist' filmmakers. That such an 'alternative/independent' group of documakers - a label it is often associated with - edges over the 'mainstream' ones in terms of its worthiness, timeliness and relevance of an issue, debate or perspective, is a claim or perception that needs to be qualified in this paper. Notable documakers gave in-depth interviews on their creative works and issues of nation building both in shaping the trajectory of 'alternative' documentary, hence, sustaining a potentially transformative public sphere. This paper will engage in analyzing critical and defining documentary works as its mode of inquiry followed by the discourses gleaned from the interviews. © John Benjamins Publishing Company.",Alternative documentary; Epistephilia; Social engagement; Transformative public sphere; Web 2.0,
Hilliard I.,"Responsible Management, Incentive Systems, and Productivity",2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888292426&partnerID=40&md5=6098620773a68706b7f86bb6222d1574,"A disconnect remains between theories about responsible management and application in real-life organizations. Part of the reason is due to the complexity and holistic nature of the field, and the fact that many of the benefits of aligning business objectives with changing societal conditions are of an intangible nature. Human resource management is an increasingly important part of the field with benefits including talent retention, higher levels of motivation, and improvements in organizational cohesion. This paper sets out an experiment run at a large Spanish university to try to analyze the impact on worker productivity of a responsible management stance by an employer. Based on the Corporate Social Performance model, the paper examines the issue from the point of view of responsibilities, responsiveness, and outcomes, and considers the cost/benefit effect of incorporating a social responsibility variable into the wage structure to measure the impact on productivity. © 2012 Springer Science+Business Media Dordrecht.",Corporate Social Performance; Human resources; Motivation; Productivity,
Wells P.,Sustainable business models and the automotive industry: A commentary,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84885837082&partnerID=40&md5=67ce0f0af43183045e130f893f688625,"This commentary reviews the position articulated in an article published in 2004 that the business model prevalent in the automotive industry was inadequate to meeting the challenge of sustainability, and reviews the key developments since then. The most noticeable developments the commentary traces are the growth in academic interest in business models, a more responsive government policy particularly in respect of new technologies, and the practical application of the concepts and ideas mooted in the original paper, notably with respect to electric vehicles. © 2013 Indian Institute of Management Bangalore.",Automotive industry; Business models; Electric vehicles; Innovation; Sustainability,
"Lee H.-H.M., van Dolen W., Kolk A.",On the Role of Social Media in the 'Responsible' Food Business: Blogger Buzz on Health and Obesity Issues,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889584888&partnerID=40&md5=374d4c735b7c41249add7226aaee53dd,"To contribute to the debate on the role of social media in responsible business, this article explores blogger buzz in reaction to food companies' press releases on health and obesity issues, considering the content and the level of fit between the CSR initiatives and the company. Findings show that companies issued more product-related initiatives than promotion-related ones. Among these, less than half generated a substantial number of responses from bloggers, which could not be identified as a specific group. While new product introductions led to positive buzz, modifications of current products resulted in more negative responses, even if there was a high fit with core business. While promotion-related press releases were received negatively in general, particularly periphery promotion (compared to core promotion) generated most reactions. Our exploratory study suggests that companies can increase the likelihood of a positive reaction if they carefully consider the fit between initiatives and their core business, while taking the notion of 'controversial fit', relating to the unhealthy nature of original products, into account. Further research avenues and implications, as well as limitations, are discussed. © 2013 Springer Science+Business Media Dordrecht.",Blogging; Corporate responsibility; Food companies; Health; Obesity; Press releases; Social media,
"Whelan G., Moon J., Grant B.",Corporations and Citizenship Arenas in the Age of Social Media,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889588377&partnerID=40&md5=7429c53f876effecf372bbbda59debeb,"Little attention has been paid to the importance of social media in the corporate social responsibility (CSR) literature. This deficit is redressed in the present paper through utilizing the notion of 'citizenship arenas' to identify three dynamics in social media-augmented corporate-society relations. First, we note that social media-augmented 'corporate arenas of citizenship' are constructed by individual corporations in an effort to address CSR issues of specific importance thereto, and are populated by individual citizens as well as (functional/formally organized) stakeholders. Second, we highlight that, within social media-augmented 'public arenas of citizenship', individual citizens are empowered, relative to corporations and their (functional/formally organized) stakeholders, when it comes to creating, debating, and publicizing, CSR-relevant issues. Third, we posit that information and communication technology corporations possess specific, and potentially very important, capacities, when it comes to creating, or helping construct, public arenas of citizenship from within which individual citizens can influence their broader political-economic environment. Following this, we discuss how social media can contribute to 'dysfunctions' as well as 'progressions' in corporate-society relations, and conclude with a number of suggestions for future research. © 2013 The Author(s).",Corporate citizenship; Corporate social responsibility; Public sphere; Social media; Stakeholder,
"Pérez A., del Rodríguez Bosque I.",Measuring CSR Image: Three Studies to Develop and to Validate a Reliable Measurement Tool,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888305789&partnerID=40&md5=4396ce3080b447f6e8b1a4e3705f8450,"Although research on the corporate social responsibility (CSR) dimension of corporate image has notably increased in recent years, the definition and measurement of the concept for academic purposes still concern researchers. In this article, literature regarding the measurement of CSR image from a customer viewpoint is revised and areas of improvement are identified. A multistage method is implemented to develop and to validate a reliable scale based on stakeholder theory. Results demonstrate the reliability and validity of this new scale for measuring customer perceptions regarding the CSR performance of their service providers. With regard to this, CSR includes corporate responsibilities towards customers, shareholders, employees and society. The scale is consistent among diverse customer cohorts with different gender, age and level of education. Furthermore, results also confirm the applicability of this new scale to structural equation modelling. © 2012 Springer Science+Business Media Dordrecht.",CSR; CSR image; Measurement tool; Scale development,
"Lee K., Oh W.-Y., Kim N.",Social Media for Socially Responsible Firms: Analysis of Fortune 500's Twitter Profiles and their CSR/CSIR Ratings,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889591837&partnerID=40&md5=25fca029a15bb69fb18fcdd9c7df86be,"The instrumental benefits of firm's CSR activities are contingent upon the stakeholders' awareness and favorable attribution. While social media creates an important momentum for firms to cultivate favorable awareness by establishing a powerful framework of stakeholder relationships, the opportunities are not distributed evenly for all firms. In this paper, we investigate the impact of CSR credentials on the effectiveness of social media as a stakeholder-relationship management platform. The analysis of Fortune 500 companies in the Twitter sphere reveals that a higher CSR rating is a strong indicator of an earlier adoption, a faster establishment of online presence (followers), a higher responsiveness to the firm's identity (replies and mentions), and a stronger virality of the messages (retweets). Incidentally, the higher CSIR rating is also found to be associated with the stronger virality. Our findings also suggest that socially responsible firms can harvest proactive stakeholders' participation (user-driven communication) without investing more resources (firm-driven communication). As the first study that conceptualizes the social media as a proponent of CSR, this paper contends that ""being socially responsible"" makes more practical sense for firms with the rise of social media. © 2013 Springer Science+Business Media Dordrecht.",CSIR; CSR; Social media; Twitter,
"Chikweche T., Fletcher R.",Entrepreuneship and ethics under extreme conditions of poverty: Exploring the ethical realities faced by entrepreneurs,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891297644&partnerID=40&md5=a9ce6e3b59af94bd91ba1c542b4955e6,"Research into entrepreneurship and business ethics has attracted increasing attention in western developed markets. However, the focus of recent studies into these issues has mostly been in Europe and North America, In the process, the impact of these issues on consumers and entrepreneurs exposed to extreme poverty has been overlooked. Using findings from a study conducted in Zimbabwe which is a market exposed to harsh conditions and experiencing harsh poverty, we demonstrate a need for research into entrepreneurship and business ethics in conditions of extreme poverty. We argue that a different mindset is required for entrepreneurs in this environment and that this requires a different approach to western based forms of ethical practices. We argue that researchers.should study business ethics in this environment in the context of the environment in which entrepreneurs must operate.",Entrepreneurship; Ethics; Extreme poverty,
Du X.,Does Religion Matter to Owner-Manager Agency Costs? Evidence from China,2013,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888295380&partnerID=40&md5=4c6d73b80506fda1c32b4f77e6ca6f5b,"In China, Buddhism and Taoism are two major religions. Using a sample of 10,363 firm-year observations from the Chinese stock market for the period of 2001-2010, I provide strong and robust evidence that religion (i.e., Buddhism and Taoism on the whole) is significantly negatively associated with owner-manager agency costs. In particular, using firm-level religion data measured by the number of religious sites within a radius of certain distance around a listed firm's registered address, I find that religion is significantly negatively (positively) associated with expense ratio (asset utilization ratio), the positive (reverse) proxy for owner-manager agency costs. This finding is consistent with the following view: religiosity has remarkable effects on the way how an individual thinks and behaves, and thereof can curb managers from unethical business practices. Moreover, my findings suggest that the negative association between religion and owner-manager agency costs is attenuated for firms with strong external monitoring mechanisms such as higher Marketization and high-quality auditors. Furthermore, after separating Buddhism from Taoism, my finding indicates that above conclusions are only available for Buddhism, suggesting that different religions may have asymmetric influence on owner-manager agency costs. Above results are robust to various measures of religiosity and a variety of robustness checks. © 2012 Springer Science+Business Media Dordrecht.",Asset utilization ratio; Buddhism; Business ethics; China; Expense ratio; External monitoring mechanisms; Owner-manager agency costs; Religion; Taoism,
