Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Yusoff W.F.W., Adamu M.S.","The relationship between corporate social responsibility and financial performance: Evidence from Malaysia",2016,"International Business Management","10","4",,"345","351",,,10.3923/ibm.2016.345.351,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84947606628&partnerID=40&md5=6344dbeee15223c27ab043abe3e34412","Faculty of Technology Management and Business, University Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat, Johor, Malaysia","Yusoff W.F.W., Faculty of Technology Management and Business, University Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat, Johor, Malaysia; Adamu M.S., Faculty of Technology Management and Business, University Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat, Johor, Malaysia","Corporate Social Responsibility (CSR) has been an important topic in accounting research. Despite extensive studies on CSR activities in Malaysia, studies that investigated the nature of CSR activities in relation to firm financial performance still limited. Thus, this research investigates the relationship between CSR activities and firm financial performance of Malaysian public listed companies. This study relied on secondary data obtained through content analysis of published company's annual reports for the year 2009-2013. Based on purposive sampling method, this study covered the assessment of the top one hundred companies in Malaysia whose names and shares were quoted in Malaysia stock exchange (Bursa Malaysia). Based on literature, four independent variables (environment, community, workplace and marketplace) and two dependent variables (Earning Per Share (EPS) and Return on Equity (ROE)) have been chosen in this study. Data were analyzed and interpreted using SPSS specifically Pearson's correlation to analyses the relationship between CSR activities and firm financial performance. This study discovered that most of the relationship between four CSR activities (environmental, community, marketplace and workplace) with financial performance (ROA and ROE) were positive. It can be concluded that Malaysian top 100 companies that actively involved in the four CSR activities are able to enhance their financial performance. It is imply that sound financial management can effectively be achieved through appropriate CSR practice that leads to a considerable economic development. Companies' performance would improve by adopting this appropriate recommendation for enhancing good CSR practice. © Medwell Journals, 2016.","Appropriate; Assessment; Corporate social responsibility; Financial performance; Malaysian listed companies",,"Yusoff, W.F.W.; Faculty of Technology Management and Business, University Tun Hussein Onn MalaysiaMalaysia",,"Medwell Journals",19935250,,,,"English","Int. Bus. Manage.",Article,Scopus,2-s2.0-84947606628
"Font X., Guix M., Bonilla-Priego M.J.","Corporate social responsibility in cruising: Using materiality analysis to create shared value",2016,"Tourism Management","53",,,"175","186",,,10.1016/j.tourman.2015.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944698841&partnerID=40&md5=077986e3b0007da1e2e6e4c082945755","International Centre for Research in Events, Tourism and Hospitality, School of Events, Tourism and Hospitality, Leeds Beckett University, Leeds, United Kingdom; Research Group in Tourism, Hospitality and Mobilities, School of Tourism and Hospitality Management Sant Ignasi, Ramon Llull University, Barcelona, Spain; Departamento de Economía Financiera y Contabilidad I, Facultad de Ciencias Jurídicas y Sociales Universidad Rey Juan Carlos, Madrid, Spain","Font X., International Centre for Research in Events, Tourism and Hospitality, School of Events, Tourism and Hospitality, Leeds Beckett University, Leeds, United Kingdom; Guix M., Research Group in Tourism, Hospitality and Mobilities, School of Tourism and Hospitality Management Sant Ignasi, Ramon Llull University, Barcelona, Spain; Bonilla-Priego M.J., Departamento de Economía Financiera y Contabilidad I, Facultad de Ciencias Jurídicas y Sociales Universidad Rey Juan Carlos, Madrid, Spain","Creating Shared Value hinges on the interdependence between a company's success and social welfare, and also the identification and expansion of connections between that company and society. Because critics say the concept is counterproductive, in that it focuses too narrowly on the company's economic value creation, we take a materiality analysis approach of corporate social responsibility (CSR). This approach provides evidence of what is important to stakeholders and promotes meaningful corporate disclosure, central to the Global Reporting Initiative. This study reports on a materiality analysis of the cruise industry, comparing stakeholder concerns/demands with both the relevant literature and existing CSR reports to determine to what extent the current industry definition of its social responsibility matches the expectations of its stakeholders, and subsequently, to theorise reasons for the patterns found. Results evidence that cruise companies tend to both over-report immaterial issues and under-report material issues, without responding to stakeholders' requests. © 2015 Elsevier Ltd.","Corporate governance; Corporate reporting; Global reporting initiative; Stakeholder engagement; Stakeholder management","corporate social responsibility; corporate strategy; governance approach; stakeholder; tourism management; Vindula arsinoe","Font, X.; International Centre for Research in Events, Tourism and Hospitality, School of Events, Tourism and Hospitality, Leeds Beckett UniversityUnited Kingdom",,"Elsevier Ltd",02615177,,,,"English","Tour. Manage.",Article,Scopus,2-s2.0-84944698841
"Grougiou V., Dedoulis E., Leventis S.","Corporate Social Responsibility Reporting and Organizational Stigma: The Case of ""Sin"" Industries",2016,"Journal of Business Research","69","2",,"905","914",,,10.1016/j.jbusres.2015.06.041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949313022&partnerID=40&md5=ffc93c337bc5a8a54da08130b1210617","Department of Business Administration, University of Macedonia, 156 Egnatia Street, Thessaloniki, Greece; Department of Business Administration, Athens University of Economics and Business, 76, Patission Street, Athens, Greece; School of Economics, Business Administration and Legal Studies, International Hellenic University, 14th klm Thessaloniki-Moudania, Thessaloniki, Greece; Aston Business School, United Kingdom","Grougiou V., Department of Business Administration, University of Macedonia, 156 Egnatia Street, Thessaloniki, Greece; Dedoulis E., Department of Business Administration, Athens University of Economics and Business, 76, Patission Street, Athens, Greece; Leventis S., School of Economics, Business Administration and Legal Studies, International Hellenic University, 14th klm Thessaloniki-Moudania, Thessaloniki, Greece, Aston Business School, United Kingdom","We examine corporate social responsibility (CSR) reporting strategies by focusing on stigmatized firms belonging to the alcohol, tobacco, gambling, nuclear energy and firearm sectors. These are often described as ""sins"" due to their perceived deviation from broadly-endorsed standards. We employ a sample of 109 U.S. listed ""sin"" firms for a seven-year period (2003-2009) and control with another set of 109 similar-sized, non-""sin"" firms for the same period. We find that ""sin"" firms are more prone to issuing standalone CSR reports. We also demonstrate that a greater risk of litigation by third parties increases the likelihood of a ""sin"" firm instigating CSR reports, while variations in ownership structure do not. By drawing upon literature on organizational stigma, we argue that CSR disclosures constitute an integral part of ""sin"" firms' strategic goal to distract attention from their controversial activities, lessen the negative consequences of stigmatization and neutralize the impact of litigation proceedings. © 2015 Elsevier Inc.","Controversial industries; Corporate social responsibility; Ethics; Organizational stigma; Sin firms; Voluntary disclosure",,"Grougiou, V.; Department of Business Administration, University of Macedonia, 156 Egnatia Street, Greece; email: v.grougiou@uom.edu.gr",,"Elsevier Inc.",01482963,,JBRED,,"English","J. Bus. Res.",Article,Scopus,2-s2.0-84949313022
"Li N., Toppinen A., Lantta M.","Managerial Perceptions of SMEs in the Wood Industry Supply Chain on Corporate Responsibility and Competitive Advantage: Evidence from China and Finland",2016,"Journal of Small Business Management","54","1",,"162","186",,,10.1111/jsbm.12136,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949237502&partnerID=40&md5=b4b715f647bc2dd9e00d7c39b3643234","Department of Forest Sciences, Faculty of Agriculture and Forestry, University of Helsinki, Finland; Forest Products Marketing and Management, Department of Forest Sciences, Faculty of Agriculture and Forestry, University of Helsinki, Finland","Li N., Department of Forest Sciences, Faculty of Agriculture and Forestry, University of Helsinki, Finland; Toppinen A., Forest Products Marketing and Management, Department of Forest Sciences, Faculty of Agriculture and Forestry, University of Helsinki, Finland; Lantta M., Forest Products Marketing and Management, Department of Forest Sciences, Faculty of Agriculture and Forestry, University of Helsinki, Finland","Our comparative study investigates the Chinese and Finnish managers' perceptions of corporate responsibility (CR) and how CR engagement can benefit small and medium-sized enterprises (SMEs) in the mechanical wood processing industry. Based on the semi-structured interviews with 23 line managers between December 2009 and December 2010, our study provides evidence that with a focused stakeholder approach, managers in wood industry SMEs adopt informal corporate social responsibility strategies and tools to meet the specific expectations of their key stakeholders. Legal aspects were the key drivers of CR, whereas advanced production technology, efficient wood procurement, customer focus, and a competent workforce formed the four principal cornerstones in their pursuit of competitive advantage. Despite the two vastly different cultural and operational settings, the importance and the role of CR were found to follow a fairly similar logic in how CR was understood and implemented in the wood industry SMEs seeking for competitive advantage. © 2016 International Council for Small Business.",,,"Li, N.; Department of Forest Sciences, University of Helsinki, Latokartanonkaari 7, P. O. Box 27, Finland; email: cathyrine_lee@hotmail.com",,"Blackwell Publishing Ltd",00472778,,,,"English","J. Small Bus. Manage.",Article,Scopus,2-s2.0-84949237502
"Amato C.N., Buraschi M., Peretti M.F.","Orientation of Córdoba-Argentina entrepreneurs to sustainability and corporate social responsibility: Identification of variables associated with each construct [Orientación de los empresarios de Córdoba-Argentina hacia la sustentabilidad y la responsabilidad social empresarial: Identificación de variables asociadas a cada constructo]",2016,"Contaduria y Administracion","61","1",,"84","105",,,10.1016/j.cya.2015.10.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946866859&partnerID=40&md5=66b1c3f5aa1e9340bfba255c1d9241b8","Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina; Instituto de Administración, Facultad de Ciencias Económicas-UNC, Argentina","Amato C.N., Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina; Buraschi M., Instituto de Administración, Facultad de Ciencias Económicas-UNC, Argentina; Peretti M.F., Instituto de Administración, Facultad de Ciencias Económicas-UNC, Argentina","On this basis, the research problem that arises for this article is to discern if employers under study are oriented either towards sustainability or corporate social responsibility, taking into account their consideration of certain economic, social and environmental variables. To do this, 3 objectives are proposed: 1) to identify variables related to economic, social and environmental aspects that allow a company to be labelled as responsible, in the context of study, 2) to relate these variables with the constructs of sustainability or corporate social responsibility and 3) to determine to which construct entrepreneurs object of study are oriented. The empirical study was carried out with entrepreneurs from 127 organizations in the province of Cordoba-Argentina and it concluded that the initial hypothesis is invalid, since the most important variables that interviewers identify respond almost entirely to the construct of sustainability instead corporate social responsibility. © 2015 Universidad Nacional Autónoma de México, Facultad de Contaduría y Administración.","Cordoba; Corporate social responsibility; Organizational sustainability; Perception",,"Amato, C.N.; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)Argentina; email: amatocelina@hotmail.com",,"Universidad Nacional Autonoma de Mexico",01861042,,,,"Spanish","Contad. Adm.",Article,Scopus,2-s2.0-84946866859
"Jamali R., Moshabaki A., Kordnaeij A.","The competitiveness of CSR communication strategy in social media",2016,"International Journal of Business Information Systems","21","1",,"1","16",,,10.1504/IJBIS.2016.073382,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949498387&partnerID=40&md5=ff72cfb10e9887bbd594d295fd416a86","Faculty of Management and Economics, Tarbiat Modares University (TMU), Jalal Ale Ahmad Highway, P.O. Box: 14115-111, Tehran, Iran; Nijmegen School of Management, Thomas van Aquinostraat 5, Nijmegen, Netherlands","Jamali R., Faculty of Management and Economics, Tarbiat Modares University (TMU), Jalal Ale Ahmad Highway, P.O. Box: 14115-111, Tehran, Iran, Nijmegen School of Management, Thomas van Aquinostraat 5, Nijmegen, Netherlands; Moshabaki A., Faculty of Management and Economics, Tarbiat Modares University (TMU), Jalal Ale Ahmad Highway, P.O. Box: 14115-111, Tehran, Iran; Kordnaeij A., Faculty of Management and Economics, Tarbiat Modares University (TMU), Jalal Ale Ahmad Highway, P.O. Box: 14115-111, Tehran, Iran","This qualitative study utilises documents in the public domain published by 50 companies listed among the Fortune Global 500. The terms and statements that the companies used to describe their social responsibility policies have been analysed, and the types of social media (SM) used have been identified for this study. Moreover, questionnaires were completed by 1,263 people who were consumers of at least one of the 50 companies. The study results indicate that the investigated digital strategies, failed to meet the objectives of the companies. This likely occurred because respondents were exposed to a wide range of messages that were of little interest to most of them. Respondents indicated that they prefer to receive messages through videos, photo sharing, publishing, and blogging, whereas most firms published their messages on corporate websites or social networks. This study is one of the first to propose that using social media without engaging users cannot be considered a success and should be considered an expense with no return. Copyright © 2015 Inderscience Enterprises Ltd.","Communication strategy; Corporate social responsibility; CSR; Digital strategy; SM; Social media; Social strategy",,"Moshabaki, A.; Faculty of Management and Economics, Tarbiat Modares University (TMU), Jalal Ale Ahmad Highway, P.O. Box: 14115-111, Iran; email: moshabak@modares.ac.ir",,"Inderscience Enterprises Ltd.",17460972,,,,"English","Int. J. Bus. Inf. Syst.",Article,Scopus,2-s2.0-84949498387
"Mellahi K., Frynas J.G., Sun P., Siegel D.","A Review of the Nonmarket Strategy Literature: Toward a Multi-Theoretical Integration",2016,"Journal of Management","42","1",,"143","173",,,10.1177/0149206315617241,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949257293&partnerID=40&md5=b9d4b19446991b3d66dff0836f77b08e","University of Warwick, United Kingdom; Middlesex University, United Kingdom; Fudan University, China; University at Albany, SUNY, United States","Mellahi K., University of Warwick, United Kingdom; Frynas J.G., Middlesex University, United Kingdom; Sun P., Fudan University, China; Siegel D., University at Albany, SUNY, United States","Two parallel strands of nonmarket strategy research have emerged largely in isolation. One strand examines strategic corporate social responsibility (CSR), and the other examines corporate political activity (CPA), even though there is an overlap between the social and political aspects of corporate strategies. In this article, we review and synthesize strategic CSR and CPA research published in top-tier and specialized academic journals between 2000 and 2014. Specifically, we (a) review the literature on the link between nonmarket strategy and organizational performance, (b) identify the mechanisms through which nonmarket strategy influences organizational performance, (c) integrate and synthesize the two strands—strategic CSR and CPA—of the literature, and (d) develop a multi-theoretical framework for improving our understanding of the effects of nonmarket strategy on organizational performance. We conclude by outlining a research agenda for future theoretical and empirical studies on the impact of nonmarket strategy on organizational outcomes. © 2015, The Author(s) 2015.","corporate political activity (CPA); corporate social responsibility (CSR); nonmarket strategy; organizational performance; theoretical integration",,"Mellahi, K.; Warwick Business School, University of WarwickUnited Kingdom; email: kamel.mellahi@wbs.ac.uk",,"SAGE Publications Inc.",01492063,,JOMAD,,"English","J. Manage.",Article,Scopus,2-s2.0-84949257293
"Senaratne S., Ruwanpura M.","Communication in construction: a management perspective through case studies in Sri Lanka",2016,"Architectural Engineering and Design Management","12","1",,"3","18",,,10.1080/17452007.2015.1056721,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84947129148&partnerID=40&md5=8a95a87674d16d89612a777912b8e1e0","School of Computing, Engineering and Mathematics, University of Western Sydney, Penrith, Australia; Department of Building Economics, University of Moratuwa, Moratuwa, Sri Lanka","Senaratne S., School of Computing, Engineering and Mathematics, University of Western Sydney, Penrith, Australia; Ruwanpura M., Department of Building Economics, University of Moratuwa, Moratuwa, Sri Lanka","Effective communication process is essential for the success of construction projects. Previous research shows that construction project teams spend majority of their time communicating with other parties and stakeholders. However, only few previous studies address project-level communication process in construction, in particular, from a project management perspective. This research aimed to explore how construction project teams manage different stages of project communication process as identified in the project management bodies of knowledge, namely stakeholder identification, communication planning, information distribution, stakeholder management and performance reporting. The case study research method was used to investigate the research problem. Three construction projects in Sri Lanka were chosen for the study. Semi-structured interviews with top management who represented each key party (client, consultant and contractor) were undertaken within the selected cases. The findings revealed how project communication process was managed by the project team by use of various project management tools and techniques during the five key stages. This research offers useful implications for the construction industry, in particular, on how construction project teams should engage formally in managing communication process by use of appropriate project management tools and techniques. Further case studies will help us to confirm the research findings in a wider context. © 2015 Taylor & Francis.","case studies; communication; construction projects; project management; project teams","Communication; Computer supported cooperative work; Construction industry; Human resource management; Management science; Case-studies; Construction projects; Effective communication; Information distributions; Project management tools; Project team; Semi structured interviews; Stakeholder identifications; Project management","Senaratne, S.; School of Computing, Engineering and Mathematics, University of Western SydneyAustralia",,"Taylor and Francis Ltd.",17452007,,,,"English","Arch. Eng. Des.",Article,Scopus,2-s2.0-84947129148
"Lee J., Maxfield S.","Doing Well by Reporting Good: Reporting Corporate Responsibility and Corporate Performance",2015,"Business and Society Review","120","4",,"577","606",,,10.1111/basr.12075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949202705&partnerID=40&md5=a8f33512dce93e9a91cf7dcd6210082d","Management and Business Ethics, Stonehill College, Easton, MA, United States; School of Business, Providence College, Providence, RI, United States","Lee J., Management and Business Ethics, Stonehill College, Easton, MA, United States; Maxfield S., School of Business, Providence College, Providence, RI, United States","This article aimed to examine the impacts of reporting-type corporate responsibility activities (CRA-R) on corporate social and financial performance. Academic research has explored how varying attributes of markets, industry sectors and firms might shape corporate social and financial performance, but includes little effort to examine the impacts of different kinds of CRA on corporate performance. We build on debate about the value of firms' reporting activities related to corporate responsibility. Recent literature suggests that CRA-R is superficial marketing or ""greenwashing."" Despite this viewpoint, corporate reporting activities related to responsibility are rising. In order to solve this puzzle, this article explores the impact of CRA-R on corporate performance. First, drawing from the institutional perspective, we propose that CRA-R will positively impact corporate social performance (CSP) oriented toward secondary stakeholders. Second, combining the stakeholder-agency perspective and corporate responsibility literature, we motivate the hypotheses that CRA-R positively influences corporate financial performance (CFP). Empirical testing with a unique dataset of large US corporations selected in the Fortune 500 support the proposed hypotheses. In particular, both corporate social responsibility and Global Reporting Initiative (GRI) activities positively influence corporate environmental performance, and financial performance. In particular, GRI reporting is a strong indicator to impact both social and financial performance. Our findings indicate that CRA-R should not simply reflect shallow motivations, but deliver value to noninvestor stakeholders as well as investors. © 2015 Center for Business Ethics at Bentley University.",,,,,"Blackwell Publishing Inc.",00453609,,,,"English","Bus. Soc. Rev.",Article,Scopus,2-s2.0-84949202705
"Calabrese A., Costa R., Rosati F.","A feedback-based model for CSR assessment and materiality analysis",2015,"Accounting Forum","39","4",,"312","327",,,10.1016/j.accfor.2015.06.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84949728225&partnerID=40&md5=22e222c05beba04a27671737a4be01ad","Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Technical University of Denmark, DTU Management Engineering, Denmark","Calabrese A., Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Costa R., Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Rosati F., Technical University of Denmark, DTU Management Engineering, Denmark","Current CSR literature offers little insight into how to engage customers and other stakeholders about their CSR expectations and perceptions. The aim of this paper is to propose a model for CSR evaluation and planning based on the classification of customer CSR feedback through the comparison of three aspects of CSR commitment (disclosed, perceived and expected). Although the paper is focused on customers, the model can be applied indifferently to any stakeholder group, thus providing a valuable instrument for materiality analysis and stakeholder engagement. In effect, the model allows identifying material CSR issues regarding all stakeholder perceptions and expectations. © 2015 Elsevier Ltd.","Corporate social responsibility (CSR); CSR expectations and perceptions; Global reporting initiative (GRI); Materiality analysis; Stakeholder engagement; Sustainability report",,"Costa, R.; Department of Enterprise Engineering, University of Rome Tor Vergata, Via del Politecnico 1, Italy; email: roberta.costa@uniroma2.it",,"Elsevier Ltd",01559982,,,,"English","Account. Forum",Article,Scopus,2-s2.0-84949728225
