Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Sharmin S., Khan N.A., Belal A.R.","Corporate community involvement in Bangladesh: An empirical study",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892535843&partnerID=40&md5=e2a22ecda462ac736d7179966787c2ff","This paper empirically examines a corporate community involvement (CCI) initiative in Bangladesh. Drawing on a conceptual framework of 'collaborative betterment' and 'collaborative empowerment' and by using focus group discussions and interviews, it assesses the initiative to examine the extent to which it meets expectations of the community where it operates. Some of the key findings of the paper include: (i) although the initiative provides vital healthcare services to some of the most vulnerable and desperately poor communities, the level of actual engagement of the local people - the main stakeholders - has been marginal; (ii) when the principles of collaborative betterment and empowerment are considered, it can be concluded that the initiative struggles even as a 'betterment' process; and (iii) notwithstanding the rhetoric and high-blown statements, corporate role in terms of practical efforts in the field has been mostly superficial and limited. © 2012 John Wiley & Sons, Ltd and ERP Environment.","Bangladesh; Collaborative betterment and empowerment; Corporate community involvement (CCI); Corporate social responsibility (CSR); Stakeholder engagement",
"Arli D.I., Cadeaux J.","Drivers of corporate community involvement and challenges in measuring its impact",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897468598&partnerID=40&md5=c8641a4442a3440d48f06ce41e933e8d","Purpose - The aim of this study is to explore drivers of corporate community involvement (CCI) initiatives and the challenges faced by companies in measuring the social impact of their initiatives in Australia. Design/methodology/approach - The authors conducted semi-structured interviews with various corporate social responsibility (CSR) or CCI managers from Australian companies and their not-for-profit (NFP) partners. The final sample consists of 27 managers from a mix of industries. Findings - The study shows that stakeholder's salience may have an impact on CCI activities, especially in the area of measurements and reporting activities. Moreover, while some companies have attempted to measure the social impact of their initiatives, a large number of companies have not. This is all the more surprising given the recent focus in marketing on accountability and measurement. The results show three challenges: lack of interest, lack of resources and lack of consensus. Subsequently, the authors offer some research propositions to underline these challenges. Originality/value - This study focuses on CCI which is one of the most visible parts of corporate social responsibility (CSR). It draws on interviews with various managers in charge of companies' CSR or CCI. Copyright © 2014 Emerald Group Publishing Limited. All rights reserved.","Australia; Corporate communityinvolvement; Corporate social responsibility; Social impact; Society",
"Kihl L., Babiak K., Tainsky S.","Evaluating the implementation of a professional sport team's corporate community involvement initiative",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901439236&partnerID=40&md5=08c67ddf4e297599f4ed5b31ce7f69a6","As corporate community initiatives (CCI) in sport are becoming an important dimension of corporate social responsibility, a key issue is evaluating the quality of the processes by which they are delivered and how they are managed. The purpose of this study was to explore the implementation process of a professional sport team's CCI using program evaluation theory (Chen, 2005). Interviews were conducted with 42 key stakeholders (team executives, partnership implementers, participants, parents, coaches) from one Major League Baseball team's CCI to understand critical processes involved in CCI implementation and execution. The findings showed concerns in the quality of program implementation with the: 1) the partnership agreement, 2) the ecological context, 3) protocol and implementation, and 4) target population. We propose an iterative model of program evaluation for use in the sport context. We conclude the paper with recommendations for further research in this area and implications for practitioners. © 2014 Human Kinetics, Inc.","Corporate community involvement initiative; Implementation; Process management; Professional sport; Social initiatives; Social responsibility; Strategies",
"Weber J., Gladstone J.","Rethinking the corporate financial-social performance relationship: Examining the complex, multistakeholder notion of corporate social performance",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907313333&partnerID=40&md5=87474d434a6d17457df49b00293117d9","The corporate financial performance (CFP)-corporate social performance (CSP) relationship has been investigated many times over the past few decades, yet the notion of CSP has generally been understood to be a single, monolithic aspect of corporate strategy. This article examines the common CFP-CSP understanding in three distinct ways: (1) by extending the evaluation of CSP as a complex, multistakeholder notion; (2) by analyzing CSP's relationship with the firm's financial performance at a given point in time as a lead (independent) variable in the relationship and as a lag (dependent) variable in the relationship; and (3) for both positive and negative stakeholder relationships. The results indicate that the employee emerges as the stakeholder group most strongly linked to CFP, followed by the consumer stakeholder. The natural environment and the community stakeholder group are minimally associated with CFP. General support is found for a CFP-CSP relationship at a given point in time, with some support found for CSP as a lead (independent) variable. When used as a measure of financial performance, return on assets is more often correlated with CSP than is return on equity. These results and their implications are discussed. © 2014 Center for Business Ethics at Bentley University.",,
"Madsen P.M., Bingham J.B.","A stakeholder-human capital perspective on the link between social performance and executive compensation",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904904025&partnerID=40&md5=8333d02787a31696d5e9d0051350f990","The link between firm corporate social performance (CSP) and executive compensation could be driven by a sorting effect (a firm's CSP is related to the initial levels of compensation of newly hired executives), or by an incentive effect (incumbent executives are rewarded for past firm CSP). Existing empirical work focuses exclusively on the incentive effect. In contrast, in this paper we explore the sorting effect of firm CSP on the initial compensation of newly hired executives. In doing so, we develop a novel theoretical approach based on an integration of stakeholder theory and human capital theory, suggesting a positive association between the initial compensation of executives and firm CSP strengths and concerns. It also suggests that the strength of this relationship varies between different executive roles (as a function of stakeholder- management responsibilities). We find support for this theoretical framework in a large sample of newly-hired executives employed by Standard & Poor 1500 firms. ©2014 Business Ethics Quarterly.","Corporate social performance; Executive compensation; Human-capital theory; Stakeholder theory",
"Moura-Leite R.C., Padgett R.C., Galán J.I.","Stakeholder Management and Nonparticipation in Controversial Business",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890865966&partnerID=40&md5=d53e787090641a110cb0d8d1084dec75","The main objective of this research is to provide knowledge on the impact that nonparticipation in controversial business can have on corporate financial performance. Accordingly, the stakeholder theory perspective was adopted and the effect of nonparticipation in controversial business on corporatefinancial performance was tested by using market-based and accounting-based economic measures. In addition, the effect of primary stakeholders' management activities on corporate financial performance was tested, whereby it can be seen whether this nonparticipation in controversial business reveals a different causal relationship with certain aspects of economic performance. © The Author(s) 2011.","corporate financial performance; corporate social performance; nonparticipation in controversial business; primary stakeholder management",
"O’Riordan L., Fairbrass J.","Managing CSR Stakeholder Engagement: A New Conceptual Framework",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920955565&partnerID=40&md5=b3f5d30f91dfb68429c5904300d83276","As concepts of corporate social responsibility (CSR) continue to evolve, the predicament facing CSR managers when attempting to balance the differing interests of various stakeholders remains a persistent management challenge. A review of the extensive literature in this field reveals that the conceptualisation of corporate approaches to responsible stakeholder management remains underdeveloped. In particular, CSR practices within the specific context of the pharmaceutical industry, a sector which particularly dramatically depicts the stakeholder management dilemmas faced by business managers, has been under-researched. To address this gap, this paper utilises qualitative, exploratory data, obtained via multiple research methods, to investigate the CSR practices of major pharmaceutical companies in the UK and Germany. The data are employed to critically re-examine and revise a previously published explanatory framework which identifies the management steps involved in CSR stakeholder engagement. The resulting revised explanatory framework is the main contribution of this paper. By abstracting those factors which influence CSR practice, it provides an analytical tool which is designed to be of practical use for business decision-makers when managing their stakeholder engagement activities. Given that the research addresses values and ideals and prescribes practical recommendations for practitioners, it is essentially applied and normative in nature. Ultimately, the framework proposes a set of steps for developing CSR strategies which could help CSR professionals to make a ‘mindset transition’ from a narrower ‘traditional’ approach to CSR to a more innovative way of thinking. © 2013, Springer Science+Business Media Dordrecht.","Conceptual frameworks; CSR; Pharmaceutical industry; Stakeholder engagement; Stakeholder management; UK and Germany",
"Meintjes C., Grobler A.F.","Do public relations professionals understand corporate governance issues well enough to advise companies on stakeholder relationship management?",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899938901&partnerID=40&md5=85476eaa5af205fe495f340fc82eb221","The King Reports on Governance for South Africa are internationally respected for proposing integrated reporting in a triple bottom-line business context to improve corporate governance. The most recent report, King III, views stakeholder relationship management as a key tenet of corporate governance. This raises the question whether public relations professionals (PRPs) understand the principles of corporate governance well-enough to inform and guide organizations on the management of stakeholder relationships. The views of senior PRPs at selected top performing companies were elicited on their practice of stakeholder relationship management in line with corporate governance principles. It was found that their knowledge on corporate governance was limited, although they recognized its importance. They propose six role functions for managing stakeholder relationships on a strategic or managerial level; these role functions are aligned with the King III principles on stakeholder relationships. The following three were of particular importance: developing a corporate strategy, giving advice to senior management and managing crisis communication. Different terminologies were used to build relations with stakeholders and different approaches were used to profile stakeholders. It is recommended that organizations leverage their public relations functions on strategic and managerial levels in support of their corporate governance efforts. In turn, PRPs are encouraged to ensure a deep knowledge on corporate governance issues when counseling senior management on building stakeholder relationships. © 2013 Elsevier Inc.","Corporate governance; Governing stakeholder relationships (GSR); Public relations; Stakeholder engagement (SE); Stakeholder relationship management (SRM)",
"Oikonomou I., Brooks C., Pavelin S.","The financial effects of uniform and mixed corporate social performance",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905566211&partnerID=40&md5=bdc64b057606cc6146f33f31f7951290","Firms typically present a mixed picture of corporate social performance (CSP), with positive and negative indicators exhibited by the same firm. Thus, stakeholders' judgments of corporate social responsibility (CSR) typically evaluate positives in the context of negatives, and vice versa. Building on social judgment theory, we present two alternative accounts of how stakeholders respond to such complexity, which provide differing implications for the financial effects of CSP: reciprocal dampening and rewarding uniformity. Echoing notable findings on strategic consistency, our US panel study finds that firms that exhibit uniformly positive or uniformly negative indicators in particular dimensions of CSP outperform firms that exhibit a mixed picture of positives and negatives, which supports the notion that stakeholders' judgments of CSR reward uniformity. © 2013 John Wiley & Sons Ltd and Society for the Advancement of Management Studies.","Corporate reputation; Corporate social performance; Corporate social responsibility; Social judgment theory; Strategic consistency",
"Collinge W.H., Harty C.F.","Evolving designs and stakeholder contributions to the briefing process",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911384656&partnerID=40&md5=dce695c726f19072028e2f9f258bf3ea","This paper examines how client stakeholders engage with a project in the briefing phase through the artefacts of design. The significance of stakeholder engagement and interpretation of evolving designs is emphasized by empirical evidence drawn from a research study into hospital construction project briefing and design practices. The paper reflects that whilst both the NHS client and hospital design teams attempt to ""engage"" and ""understand"" stakeholders, stakeholders have the capacity to interpret designs with their own cognitive understandings. The semiotic theories of Roland Barthes and Umberto Eco concerning the role of author and reader of signs and lexicons of knowledge provide a supportive analytical framework for the insights of the paper. It is noted that whilst the constitution of the client and the parameters of a project affect stakeholder management practices, the role of evolving design artefacts and stakeholder engagement and interpretation of them should be recognised. Stakeholders relate to a project via the artefacts of design, interpreting issues against personal individual understandings that may be different to those of construction professionals or externally appointed project advisors. The paper makes the case for more inclusive participatory design initiatives to embrace diverse and insightful stakeholder opinions and interpretations.","Briefing; Hospitals; Semiotics; Stakeholders","Hospitals; Project management; Semiotics; Briefing; Briefing process; Construction professionals; Construction projects; Participatory design; Stakeholder engagement; Stakeholder management; Stakeholders; Design"
